"cd_nom","lb_nom_key","lb_nom_cd_key","regne"
"188659","Aaptos","Aaptos{188659}","Animalia"
"70971","Aaptos aaptos","Aaptos aaptos{70971}","Animalia"
"549734","Aaptos adriatica","Aaptos adriatica{549734}","Animalia"
"70972","Aaptos papillata","Aaptos papillata{70972}","Animalia"
"359644","Aaptos papillatus","Aaptos papillatus{359644}","Animalia"
"606842","Aaronsohnia","Aaronsohnia{606842}","Plantae"
"201833","Abacarus","Abacarus{201833}","Animalia"
"221232","Abacarus hystrix","Abacarus hystrix{221232}","Animalia"
"188660","Abacetus","Abacetus{188660}","Animalia"
"9069","Abacetus salzmanni","Abacetus salzmanni{9069}","Animalia"
"414864","Abacobia carbonella","Abacobia carbonella{414864}","Animalia"
"584762","Abacola holothuriae","Abacola holothuriae{584762}","Animalia"
"202360","Abacoproeces","Abacoproeces{202360}","Animalia"
"233451","Abacoproeces saltuum","Abacoproeces saltuum{233451}","Animalia"
"79313","Abacosa dumetorum","Abacosa dumetorum{79313}","Plantae"
"79314","Abacosa onobrychioides","Abacosa onobrychioides{79314}","Plantae"
"68550","Abadèche boulotte","Abadèche boulotte{68550}","Animalia"
"79315","Abama ossifraga","Abama ossifraga{79315}","Plantae"
"354978","Abarenicola","Abarenicola{354978}","Animalia"
"371817","Abarenicola claparedei","Abarenicola claparedei{371817}","Animalia"
"531330","Abarenicola claparedi","Abarenicola claparedi{531330}","Animalia"
"566620","Abarenicola claparedii","Abarenicola claparedii{566620}","Animalia"
"79316","Abasicarpon patulum","Abasicarpon patulum{79316}","Plantae"
"200975","Abasola","Abasola{200975}","Animalia"
"337053","Abasola sarea","Abasola sarea{337053}","Animalia"
"392181","Abastus macquarti","Abastus macquarti{392181}","Animalia"
"816","Abasula sarea","Abasula sarea{816}","Animalia"
"188661","Abax","Abax{188661}","Animalia"
"222609","Abax carinatus","Abax carinatus{222609}","Animalia"
"251022","Abax carinatus carinatus","Abax carinatus carinatus{251022}","Animalia"
"395789","Abax carpathicus","Abax carpathicus{395789}","Animalia"
"395772","Abax ellipticus","Abax ellipticus{395772}","Animalia"
"395773","Abax lippizanus","Abax lippizanus{395773}","Animalia"
"395785","Abax magnicollis","Abax magnicollis{395785}","Animalia"
"395784","Abax montserratensis","Abax montserratensis{395784}","Animalia"
"395674","Abaxodes dejeanii","Abaxodes dejeanii{395674}","Animalia"
"9157","Abax ovalis","Abax ovalis{9157}","Animalia"
"222607","Abax parallelepipedus","Abax parallelepipedus{222607}","Animalia"
"251018","Abax parallelepipedus contractus","Abax parallelepipedus contractus{251018}","Animalia"
"251019","Abax parallelepipedus parallelepipedus","Abax parallelepipedus parallelepipedus{251019}","Animalia"
"9158","Abax parallelus","Abax parallelus{9158}","Animalia"
"251020","Abax parallelus parallelus","Abax parallelus parallelus{251020}","Animalia"
"395779","Abax podolicus","Abax podolicus{395779}","Animalia"
"222608","Abax pyrenaeus","Abax pyrenaeus{222608}","Animalia"
"251021","Abax pyrenaeus pyrenaeus","Abax pyrenaeus pyrenaeus{251021}","Animalia"
"395783","Abax sexualis","Abax sexualis{395783}","Animalia"
"396811","Abbotia georgiana","Abbotia georgiana{396811}","Animalia"
"79317","Abbotia palustris","Abbotia palustris{79317}","Plantae"
"396814","Abbotia paykulliana","Abbotia paykulliana{396814}","Animalia"
"79318","Abbotia pumila","Abbotia pumila{79318}","Plantae"
"188662","Abdera","Abdera{188662}","Animalia"
"223972","Abdera affinis","Abdera affinis{223972}","Animalia"
"223969","Abdera bifasciata","Abdera bifasciata{223969}","Animalia"
"397289","Abdera bifasciata","Abdera bifasciata{397289}","Animalia"
"12064","Abdera biflexuosa","Abdera biflexuosa{12064}","Animalia"
"223973","Abdera flexuosa","Abdera flexuosa{223973}","Animalia"
"397294","Abdera picea","Abdera picea{397294}","Animalia"
"223970","Abdera quadrifasciata","Abdera quadrifasciata{223970}","Animalia"
"397296","Abdera scutellaris","Abdera scutellaris{397296}","Animalia"
"397297","Abdera suturalis","Abdera suturalis{397297}","Animalia"
"397292","Abdera undata","Abdera undata{397292}","Animalia"
"239523","Abeille domestique, Abeille européenne","Abeille domestique, Abeille européenne{239523}","Animalia"
"205435","Abemus","Abemus{205435}","Animalia"
"243189","Abemus chloropterus","Abemus chloropterus{243189}","Animalia"
"443431","Aberranta","Aberranta{443431}","Animalia"
"443454","Aberranta banyulensis","Aberranta banyulensis{443454}","Animalia"
"443430","Aberrantidae","Aberrantidae{443430}","Animalia"
"437684","Abgrallaspis","Abgrallaspis{437684}","Animalia"
"188663","Abia","Abia{188663}","Animalia"
"231777","Abia aenea","Abia aenea{231777}","Animalia"
"231778","Abia aurulenta","Abia aurulenta{231778}","Animalia"
"401286","Abia bifida","Abia bifida{401286}","Animalia"
"401287","Abia bigens","Abia bigens{401287}","Animalia"
"52419","Abia candens","Abia candens{52419}","Animalia"
"231779","Abia fasciata","Abia fasciata{231779}","Animalia"
"231780","Abia fulgens","Abia fulgens{231780}","Animalia"
"231781","Abia lonicerae","Abia lonicerae{231781}","Animalia"
"231782","Abia mutica","Abia mutica{231782}","Animalia"
"401288","Abia plana","Abia plana{401288}","Animalia"
"52420","Abia sericea","Abia sericea{52420}","Animalia"
"188664","Abida","Abida{188664}","Animalia"
"162995","Abida bigerrensis","Abida bigerrensis{162995}","Animalia"
"162992","Abida cylindrica","Abida cylindrica{162992}","Animalia"
"162994","Abida escudiei","Abida escudiei{162994}","Animalia"
"200240","Abida gittenbergeri","Abida gittenbergeri{200240}","Animalia"
"412818","Abida monsjovica","Abida monsjovica{412818}","Animalia"
"162993","Abida partioti","Abida partioti{162993}","Animalia"
"162996","Abida polyodon","Abida polyodon{162996}","Animalia"
"199831","Abida pyrenaearia","Abida pyrenaearia{199831}","Animalia"
"162989","Abida pyrenaearia pyrenaearia","Abida pyrenaearia pyrenaearia{162989}","Animalia"
"199830","Abida secale","Abida secale{199830}","Animalia"
"162987","Abida secale affinis","Abida secale affinis{162987}","Animalia"
"162984","Abida secale secale","Abida secale secale{162984}","Animalia"
"412822","Abida vidali","Abida vidali{412822}","Animalia"
"188665","Abies","Abies{188665}","Plantae"
"79319","Abies alba","Abies alba{79319}","Plantae"
"130692","Abies alba subsp. alba","Abies alba subsp. alba{130692}","Plantae"
"79321","Abies alpestris","Abies alpestris{79321}","Plantae"
"79326","Abies cinerea","Abies cinerea{79326}","Plantae"
"79330","Abies excelsa","Abies excelsa{79330}","Plantae"
"79338","Abies larix","Abies larix{79338}","Plantae"
"79340","Abies medioxima","Abies medioxima{79340}","Plantae"
"79347","Abies pectinata","Abies pectinata{79347}","Plantae"
"79348","Abies picea","Abies picea{79348}","Plantae"
"79351","Abies taxifolia","Abies taxifolia{79351}","Plantae"
"717045","Abies x borisii-regis","Abies x borisii-regis{717045}","Plantae"
"187208","Abietaceae","Abietaceae{187208}","Plantae"
"188666","Abietinaria","Abietinaria{188666}","Animalia"
"7259","Abietinaria abietina","Abietinaria abietina{7259}","Animalia"
"553874","Abietinaria costata","Abietinaria costata{553874}","Animalia"
"359645","Abietinaria filicula","Abietinaria filicula{359645}","Animalia"
"433851","Abietinella","Abietinella{433851}","Plantae"
"5422","Abietinella abietina","Abietinella abietina{5422}","Plantae"
"434642","Abietinella abietina var. abietina","Abietinella abietina var. abietina{434642}","Plantae"
"79355","Abiga cistifolia","Abiga cistifolia{79355}","Plantae"
"549735","Abila freyerii","Abila freyerii{549735}","Animalia"
"188667","Ablabesmyia","Ablabesmyia{188667}","Animalia"
"414712","Ablabesmyia bipunctella","Ablabesmyia bipunctella{414712}","Animalia"
"414720","Ablabesmyia connectens","Ablabesmyia connectens{414720}","Animalia"
"414713","Ablabesmyia debeauchampi","Ablabesmyia debeauchampi{414713}","Animalia"
"414681","Ablabesmyia hieroglyphica","Ablabesmyia hieroglyphica{414681}","Animalia"
"245134","Ablabesmyia longistyla","Ablabesmyia longistyla{245134}","Animalia"
"20011","Ablabesmyia monilis","Ablabesmyia monilis{20011}","Animalia"
"414721","Ablabesmyia pecteniphora","Ablabesmyia pecteniphora{414721}","Animalia"
"20012","Ablabesmyia phatta","Ablabesmyia phatta{20012}","Animalia"
"414716","Ablabesmyia sexannulata","Ablabesmyia sexannulata{414716}","Animalia"
"414678","Ablabesmyia verbekei","Ablabesmyia verbekei{414678}","Animalia"
"188668","Ablattaria","Ablattaria{188668}","Animalia"
"403095","Ablattaria costulata","Ablattaria costulata{403095}","Animalia"
"403096","Ablattaria distinguenda","Ablattaria distinguenda{403096}","Animalia"
"10362","Ablattaria laevigata","Ablattaria laevigata{10362}","Animalia"
"403098","Ablattaria meridionalis","Ablattaria meridionalis{403098}","Animalia"
"403100","Ablattaria punctata","Ablattaria punctata{403100}","Animalia"
"208654","Ablaxia","Ablaxia{208654}","Animalia"
"218810","Ablaxia parviclava","Ablaxia parviclava{218810}","Animalia"
"208199","Ablerus","Ablerus{208199}","Animalia"
"217956","Ablerus atomon","Ablerus atomon{217956}","Animalia"
"389798","Ablerus brittanicus","Ablerus brittanicus{389798}","Animalia"
"217957","Ablerus celsus","Ablerus celsus{217957}","Animalia"
"217958","Ablerus clisiocampae","Ablerus clisiocampae{217958}","Animalia"
"217959","Ablerus marchali","Ablerus marchali{217959}","Animalia"
"217960","Ablerus matritensis","Ablerus matritensis{217960}","Animalia"
"217962","Ablerus pinifoliae","Ablerus pinifoliae{217962}","Animalia"
"217963","Ablerus pulcherrimus","Ablerus pulcherrimus{217963}","Animalia"
"67111","Ablette","Ablette{67111}","Animalia"
"352735","Abludomelita","Abludomelita{352735}","Animalia"
"366464","Abludomelita aculeata","Abludomelita aculeata{366464}","Animalia"
"366465","Abludomelita gladiosa","Abludomelita gladiosa{366465}","Animalia"
"366466","Abludomelita obtusata","Abludomelita obtusata{366466}","Animalia"
"188671","Abortiporus","Abortiporus{188671}","Fungi"
"41255","Abortiporus biennis","Abortiporus biennis{41255}","Fungi"
"509654","Abortiporus borealis","Abortiporus borealis{509654}","Fungi"
"41259","Abortiporus fractipes","Abortiporus fractipes{41259}","Fungi"
"520289","Abortiporus wynnei","Abortiporus wynnei{520289}","Fungi"
"575868","Abothrium hermaphroductus","Abothrium hermaphroductus{575868}","Animalia"
"575869","Abothrium infundibuliformis","Abothrium infundibuliformis{575869}","Animalia"
"575870","Abothrium longissimum","Abothrium longissimum{575870}","Animalia"
"188672","Abra","Abra{188672}","Animalia"
"552344","Abra abra","Abra abra{552344}","Animalia"
"64610","Abra alba","Abra alba{64610}","Animalia"
"205666","Abrachyglossum","Abrachyglossum{205666}","Animalia"
"389274","Abrachyglossum andrei","Abrachyglossum andrei{389274}","Animalia"
"216735","Abrachyglossum capitatum","Abrachyglossum capitatum{216735}","Animalia"
"204914","Abraeus","Abraeus{204914}","Animalia"
"396750","Abraeus brevissimus","Abraeus brevissimus{396750}","Animalia"
"223562","Abraeus granulum","Abraeus granulum{223562}","Animalia"
"396748","Abraeus parvululus","Abraeus parvululus{396748}","Animalia"
"223563","Abraeus parvulus","Abraeus parvulus{223563}","Animalia"
"223564","Abraeus perpusillus","Abraeus perpusillus{223564}","Animalia"
"396747","Abraeus punctatissimus","Abraeus punctatissimus{396747}","Animalia"
"223565","Abraeus roubali","Abraeus roubali{223565}","Animalia"
"396767","Abraeus seminulum","Abraeus seminulum{396767}","Animalia"
"545694","Abra fragilis","Abra fragilis{545694}","Animalia"
"545555","Abra intermedia","Abra intermedia{545555}","Animalia"
"555199","Abralia pfefferi","Abralia pfefferi{555199}","Animalia"
"358627","Abraliopsis","Abraliopsis{358627}","Animalia"
"542420","Abraliopsis morisii","Abraliopsis morisii{542420}","Animalia"
"381423","Abraliopsis pfefferi","Abraliopsis pfefferi{381423}","Animalia"
"679188","Abra longicallis","Abra longicallis{679188}","Animalia"
"576953","Abra longicallis var. americana","Abra longicallis var. americana{576953}","Animalia"
"460571","Abra longicallus","Abra longicallus{460571}","Animalia"
"359649","Abra longicallus","Abra longicallus{359649}","Animalia"
"546460","Abra longicallus americana","Abra longicallus americana{546460}","Animalia"
"571175","Abra milaschevichi","Abra milaschevichi{571175}","Animalia"
"188673","Abramis","Abramis{188673}","Animalia"
"561660","Abramis alburnus","Abramis alburnus{561660}","Animalia"
"561661","Abramis argyreus","Abramis argyreus{561661}","Animalia"
"561662","Abramis bipunctatus","Abramis bipunctatus{561662}","Animalia"
"423074","Abramis bjoerkna","Abramis bjoerkna{423074}","Animalia"
"579723","Abramis björkna","Abramis björkna{579723}","Animalia"
"561663","Abramis blicca","Abramis blicca{561663}","Animalia"
"67074","Abramis brama","Abramis brama{67074}","Animalia"
"564954","Abramis brama bergi","Abramis brama bergi{564954}","Animalia"
"564955","Abramis brama danubii","Abramis brama danubii{564955}","Animalia"
"564956","Abramis brama orientalis","Abramis brama orientalis{564956}","Animalia"
"564957","Abramis brama sinegorensis","Abramis brama sinegorensis{564957}","Animalia"
"561664","Abramis erythropterus","Abramis erythropterus{561664}","Animalia"
"561666","Abramis gehini","Abramis gehini{561666}","Animalia"
"561667","Abramis media","Abramis media{561667}","Animalia"
"561668","Abramis melaenus","Abramis melaenus{561668}","Animalia"
"561669","Abramis microlepidotus","Abramis microlepidotus{561669}","Animalia"
"561670","Abramis micropteryx","Abramis micropteryx{561670}","Animalia"
"561673","Abramis vetula","Abramis vetula{561673}","Animalia"
"561674","Abramis vulgaris","Abramis vulgaris{561674}","Animalia"
"64613","Abra nitida","Abra nitida{64613}","Animalia"
"64614","Abra ovata","Abra ovata{64614}","Animalia"
"64611","Abra prismatica","Abra prismatica{64611}","Animalia"
"571177","Abra segmentina","Abra segmentina{571177}","Animalia"
"359650","Abra segmentum","Abra segmentum{359650}","Animalia"
"64612","Abra tenuis","Abra tenuis{64612}","Animalia"
"210517","Abraxas","Abraxas{210517}","Animalia"
"784044","Abraxas adustata","Abraxas adustata{784044}","Animalia"
"248830","Abraxas grossulariata","Abraxas grossulariata{248830}","Animalia"
"248832","Abraxas pantaria","Abraxas pantaria{248832}","Animalia"
"248831","Abraxas sylvata","Abraxas sylvata{248831}","Animalia"
"774727","Abraxas ulmata","Abraxas ulmata{774727}","Animalia"
"188674","Abrochtha","Abrochtha{188674}","Animalia"
"78182","Abrochtha intermedia","Abrochtha intermedia{78182}","Animalia"
"201622","Abrolophus","Abrolophus{201622}","Animalia"
"220944","Abrolophus miniatus","Abrolophus miniatus{220944}","Animalia"
"220945","Abrolophus rubipes","Abrolophus rubipes{220945}","Animalia"
"249394","Abromiade brune (L')","Abromiade brune (L'){249394}","Animalia"
"249404","Abromiade dauphinoise (L')","Abromiade dauphinoise (L'){249404}","Animalia"
"249391","Abromiade de la Molinie (L')","Abromiade de la Molinie (L'){249391}","Animalia"
"345744","Abromiade des steppes (L')","Abromiade des steppes (L'){345744}","Animalia"
"249401","Abromiade du Millet (L')","Abromiade du Millet (L'){249401}","Animalia"
"249392","Abromiade latéritique (L')","Abromiade latéritique (L'){249392}","Animalia"
"249395","Abromiade lustrée (L')","Abromiade lustrée (L'){249395}","Animalia"
"249388","Abromiade ochracée (L')","Abromiade ochracée (L'){249388}","Animalia"
"249397","Abromiade platinée (L')","Abromiade platinée (L'){249397}","Animalia"
"249396","Abromiade rubrirène (L')","Abromiade rubrirène (L'){249396}","Animalia"
"249393","Abromiade ténébreuse (L')","Abromiade ténébreuse (L'){249393}","Animalia"
"520867","Abromias furva","Abromias furva{520867}","Animalia"
"520868","Abromias lateritia","Abromias lateritia{520868}","Animalia"
"520869","Abromias lithoxylaea","Abromias lithoxylaea{520869}","Animalia"
"720186","Abromias maillardi","Abromias maillardi{720186}","Animalia"
"520899","Abromias maillardi maillardi","Abromias maillardi maillardi{520899}","Animalia"
"720183","Abromias monoglypha","Abromias monoglypha{720183}","Animalia"
"520870","Abromias monoglypha monoglypha","Abromias monoglypha monoglypha{520870}","Animalia"
"520871","Abromias oblonga","Abromias oblonga{520871}","Animalia"
"520872","Abromias platinea","Abromias platinea{520872}","Animalia"
"520873","Abromias platinea platinea","Abromias platinea platinea{520873}","Animalia"
"520874","Abromias rubrirena","Abromias rubrirena{520874}","Animalia"
"520875","Abromias rubrirena rubrirena","Abromias rubrirena rubrirena{520875}","Animalia"
"720185","Abromias sublustris","Abromias sublustris{720185}","Animalia"
"520876","Abromias syriaca","Abromias syriaca{520876}","Animalia"
"520877","Abromias zeta","Abromias zeta{520877}","Animalia"
"520878","Abromias zeta zeta","Abromias zeta zeta{520878}","Animalia"
"203824","Abromus","Abromus{203824}","Animalia"
"222074","Abromus brucki","Abromus brucki{222074}","Animalia"
"211184","Abrostola","Abrostola{211184}","Animalia"
"249159","Abrostola agnorista","Abrostola agnorista{249159}","Animalia"
"249157","Abrostola asclepiadis","Abrostola asclepiadis{249157}","Animalia"
"249156","Abrostola tripartita","Abrostola tripartita{249156}","Animalia"
"249158","Abrostola triplasia","Abrostola triplasia{249158}","Animalia"
"79356","Abrotanum alpestre","Abrotanum alpestre{79356}","Plantae"
"79357","Abrotanum ambiguum","Abrotanum ambiguum{79357}","Plantae"
"79358","Abrotanum brachylobum","Abrotanum brachylobum{79358}","Plantae"
"79359","Abrotanum congestum","Abrotanum congestum{79359}","Plantae"
"79360","Abrotanum pauciflorum","Abrotanum pauciflorum{79360}","Plantae"
"79361","Abrotanum pedunculare","Abrotanum pedunculare{79361}","Plantae"
"79362","Abrotanum platylobum","Abrotanum platylobum{79362}","Plantae"
"79363","Abrotanum pulverulentum","Abrotanum pulverulentum{79363}","Plantae"
"79364","Abrotanum rhodanicum","Abrotanum rhodanicum{79364}","Plantae"
"79365","Abrotanum virgatum","Abrotanum virgatum{79365}","Plantae"
"79366","Abrotanum viridulum","Abrotanum viridulum{79366}","Plantae"
"247871","Agdistis meridionalis","Agdistis meridionalis{247871}","Animalia"
